"amazon link","i.s.b.n.","theatrical debut","title"
"B0012OTRTI","","1998-01-01 02:00:00 +1300","Elizabeth/Elizabeth - The Golden Age"
"B00008WJEQ","0790771497","1995-10-20 03:00:00 +1300","Empire Records"
"B000C3L2IO","","2005-01-01 02:00:00 +1300","Enron: The Smartest Guys in the Room"
"B00005JLWN","","2002-01-01 02:00:00 +1300","Equilibrium"
"B00005JMJG","078329784X","2004-03-19 02:00:00 +1300","Eternal Sunshine Of The Spotless Mind"
"B0002DKCMG","1417023082","2004-02-20 02:00:00 +1300","Eurotrip"
"B000DWMN2S","","2005-09-16 02:00:00 +1200","Everything Is Illuminated"
"B000YI99IW","","","Extras - The Complete Series"
"B000KB488Y","","2006-11-10 02:00:00 +1300","F**K - A Documentary"
"B000SINT52","","2004-06-25 02:00:00 +1200","Fahrenheit 9/11"
"B000087F6L","","1966-11-14 02:00:00 +1200","Fahrenheit 451"
"B000YOX3HE","","2007-01-01 02:00:00 +1300","Family Guy - Blue Harvest"
"B000083C6V","","1999-01-31 02:00:00 +1300","Family Guy, Vol. 1"
"B00008YGRV","","2003-01-01 02:00:00 +1300","Family Guy, Vol. 2"
"B000AQ68Z0","","2004-01-01 02:00:00 +1300","Family Guy, Vol. 3"
"B000HT3P6U","","2005-01-01 02:00:00 +1300","Family Guy, Vol. 4"
"B000RO6JZO","","1999-01-31 02:00:00 +1300","Family Guy, Vol. 5"
"B0012018OE","","","Family Guy, Vol. 6"
"B001VFM0ZG","","","Family Guy, Vol. 7"
"B001QOGYBI","","2009-11-06 00:00:00 +1300","Fantastic Mr. Fox"
"B00009W5CA","0792858050","1996-03-08 02:00:00 +1300","Fargo"
"B0000541X6","","1999-03-19 02:00:00 +1300","Farscape Season 1, Vol. 1 - Premiere/I, E.T."
"B000MEYKAU","","2006-11-17 02:00:00 +1300","Fast Food Nation"
"B000067A9X","","1998-03-30 02:00:00 +1200","The Fast Show"
"B0000796CV","0790773465","1997-01-01 02:00:00 +1300","Father Ted - Complete Series 3"
"0783229526","0783229526","1998-05-22 02:00:00 +1200","Fear and Loathing in Las Vegas"
"B0000897EA","","2002-11-06 02:00:00 +1300","Femme Fatale"
"B000BNX4MC","1415715335","1986-06-11 02:00:00 +1200","Ferris Bueller's Day Off Bueller...Bueller... Edition"
"0800177983","0800177983","1992-12-11 02:00:00 +1300","A Few Good Men"
"0800195175","0800195175","1997-05-09 02:00:00 +1200","The Fifth Element"
"B00003W8NM","","1999-10-15 03:00:00 +1300","Fight Club"
"B002PNU2LC","","","A Film with Me in It"
"B0000AQS0F","","2002-09-20 02:00:00 +1200","Firefly - The Complete Series"
"B0004Z33EG","","1982-10-22 02:00:00 +1200","First Blood"
"B000P2A6C0","","2007-06-17 02:00:00 +1200","Flight of the Conchords - The Complete First Season"
"B001H9N870","","2009-01-01 02:00:00 +1300","Flight of the Conchords: The Complete Second Season"
"B000TQLJHI","","2006-01-01 02:00:00 +1300","Flyboys"
"B0001L3LUE","1404941665","2004-02-01 02:00:00 +1300","The Fog of War - Eleven Lessons from the Life of Robert S. McNamara"
"B0027BOL4G","","2008-01-01 00:00:00 +1300","Food, Inc."
"B000KKNLYW","","","Footrot Flats: The Dog's Tale"
"B000M341Q4","","2006-11-22 02:00:00 +1300","For Your Consideration"
"B00005JPAR","","2006-11-22 02:00:00 +1300","The Fountain"
"6305327041","6305327041","1995-12-25 02:00:00 +1300","Four Rooms"
"B000R4SMCW","","2007-04-20 02:00:00 +1200","Fracture"
"B00005NTOH","","2001-04-20 02:00:00 +1200","Freddy Got Fingered"
"B0000C23FY","1932134190","","Friends & Family"
"B001TH92N4","","2008-01-01 02:00:00 +1300","Frost/Nixon"
"B00005ATZT","0790760290","1993-08-06 02:00:00 +1200","The Fugitive"
"B000YAG00A","","","Full Metal Jacket"
"B000069HZP","0783274254","1997-09-12 02:00:00 +1200","The Game"
"B00005JNC2","","2004-01-01 02:00:00 +1300","Garden State"
"0767805712","0767805712","1997-10-24 03:00:00 +1300","Gattaca"
"B0008ENHTY","1419806815","1972-12-13 01:00:00 +1200","The Getaway"
"B00005T30L","0792850963","2001-01-01 02:00:00 +1300","Ghost World"
"B000E33W1W","","1984-06-08 02:00:00 +1200","Ghostbusters"
"B00005JKG9","","1992-10-02 02:00:00 +1200","Glengarry Glen Ross"
"0767835093","0767835093","1999-04-09 02:00:00 +1200","Go"
"B0007Y08MY","0792173317","1974-12-20 02:00:00 +1300","The Godfather, Part II"
"B0007Y08NI","0792173333","1990-12-25 02:00:00 +1300","The Godfather, Part III"
"B0001NBNB6","0792173295","1972-03-24 02:00:00 +1200","The Godfather"
"B0001Y4LBY","140496021X","1981-01-01 02:00:00 +1300","The Gods Must Be Crazy"
"B002M36R2I","","2008-01-01 02:00:00 +1300","Gomorrah"
"B000B8QG22","0788853651","1988-01-15 02:00:00 +1300","Good Morning, Vietnam"
"B000P0J09M","","1990-01-01 02:00:00 +1300","GoodFellas"
"B000P0J09W","","1985-01-01 02:00:00 +1300","The Goonies"
"B00005JKNF","0783271166","2001-01-01 02:00:00 +1300","Gosford Park"
"B001KVZ6F2","","2008-01-01 02:00:00 +1300","Gran Torino"
"B000EMGJAO","","2006-01-06 02:00:00 +1300","Grandma's Boy"
"B000EBGGKS","","2004-01-01 02:00:00 +1300","Green Wing Series 1"
"B000P0J0A6","","1984-01-01 02:00:00 +1300","Gremlins"
"B000069I1U","","1991-01-04 02:00:00 +1300","The Grifters"
"B000R7HY0K","","2007-04-06 02:00:00 +1200","Grindhouse Presents, Death Proof - Extended and Unrated"
"B000BMY2NS","","2005-01-01 02:00:00 +1300","Grizzly Man"
"B000KX0IOK","","2006-08-11 02:00:00 +1200","Half Nelson"
"B001IOQWA4","","2008-01-01 02:00:00 +1300","Hamlet 2"
"","","","The Hangover"
"B00003CXSP","0792850424","2001-01-01 02:00:00 +1300","Hannibal"
"B000NVT0SO","","2007-02-09 02:00:00 +1300","Hannibal Rising"
"B00000IC7G","1573625639","1998-10-16 03:00:00 +1300","Happiness"
"B000BB18L8","","2005-01-01 02:00:00 +1300","Happy Endings"
"B0009X760U","1417010959","1996-02-16 02:00:00 +1300","Happy Gilmore"
"B000YDBP4S","","","Happy Tree Friends - The Complete Season One"
"B000N4SHNK","","1992-01-01 00:00:00 +1300","Hard Boiled"
"B00000K3D3","0767824539","1997-02-28 02:00:00 +1300","Hard Eight"
"B00068WOH8","0780649621","2004-07-30 02:00:00 +1200","Harold & Kumar Go to White Castle"
"B001AEF6HM","","2008-01-01 02:00:00 +1300","Harold and Kumar Escape from Guantanamo Bay"
"B0006ZUJ8M","","2001-01-01 02:00:00 +1300","He Died With a Felafel in His Hand"
"B00164KYV4","","2008-08-01 02:00:00 +1200","He's Just Not That Into You"
"B0009VND0E","","2004-01-01 02:00:00 +1300","Head-On [Gegen die Wand]"
"B000AAIVXI","","","Headrush"
"B000P0J0AG","","1995-12-15 02:00:00 +1300","Heat"
"B00030590I","","2004-08-27 02:00:00 +1200","Hero"
"B00003CXGA","","2000-01-01 02:00:00 +1300","High Fidelity"
"B000UJ48P4","","2007-06-08 02:00:00 +1200","Hostel - Part II"
"B000RJO578","","2007-01-01 02:00:00 +1300","Hot Fuzz"
"B0007R4T3U","079286686X","2005-02-04 02:00:00 +1300","Hotel Rwanda"
"B000063RQO","0783267762","2001-12-21 02:00:00 +1300","How High"
"B00000ING2","079074077X","1994-03-11 03:00:00 +1300","The Hudsucker Proxy"
"B0000714E6","0780639839","2001-01-01 02:00:00 +1300","Human Nature"
"B00004Z4WS","0788825283","2000-05-05 02:00:00 +1200","Human Traffic"
"B00008K76U","0792187156","1990-03-02 02:00:00 +1300","The Hunt for Red October"
"B0006TPE4C","","2004-10-22 03:00:00 +1300","I Heart Huckabees"
"B001PR0Y6W","","2009-01-01 02:00:00 +1300","I Love You, Man"
"B0013D8L7C","","2007-01-01 02:00:00 +1300","I'm Not There"
"B000K7VHOG","","2006-01-01 02:00:00 +1300","Idiocracy"
"B000K7VHQ4","","2006-09-01 02:00:00 +1200","The Illusionist"
"B0018BD9DA","","2008-01-01 02:00:00 +1300","In Bruges"
"B000PS9TEK","","","In My Father's Den"
"B000067J3S","","2002-01-11 02:00:00 +1300","In the Bedroom"
"B00003CXUM","1559409274","2000-01-01 02:00:00 +1300","In the Mood for Love - Criterion Collection"
"B000XJ5TPE","","2007-01-01 02:00:00 +1300","In the Shadow of the Moon"
"B000ICL3KG","","2006-01-01 02:00:00 +1300","An Inconvenient Truth"
"B00005JN7C","","2002-01-01 02:00:00 +1300","Infernal Affairs"
"B001OQCV3I","","","Inglourious Basterds"
"B000GFLKF8","","2006-03-24 01:00:00 +1200","Inside Man"
"B000ZN802W","","2007-01-01 02:00:00 +1300","Into the Wild"
"B00005JMET","0783272642","2003-10-10 03:00:00 +1300","Intolerable Cruelty"
"B0001LJBTE","158655297X","2001-03-30 02:00:00 +1200","Invader ZIM - Doom Doom Doom"
"B0002T2QGA","1586555499","2001-03-30 02:00:00 +1200","Invader ZIM - Horrible Holiday Cheer"
"B00026L8NK","1586555375","2001-03-30 02:00:00 +1200","Invader ZIM - Progressive Stupidity"
